Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Temperature_difference;Power;Mechanical_stress;Type_L;Type_M;ID;Failure_Prediction;Failure_Probability;SHAP_Rotational_speed;SHAP_Power;SHAP_Tool_wear;SHAP_Temperature_difference;Key_factor;Risk_level;Maintenance_Recommendation;Suggested_Action
302;312;1538;36;74;9;56444;2715;0;1;39;0;0,009042787611822105;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;310;1359;57;67;7;77734;3832;1;0;40;1;0,9630653734927794;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
298;309;1331;61;46;11;81989;2833;0;1;41;0;0,11925060537981233;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;308;1858;24;101;9;45892;2494;0;1;42;0;0,020355533846537516;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1334;72;151;10;96048;10872;0;1;43;1;0,9740496596033696;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
298;308;1691;30;49;10;51237;1484;1;0;44;0;0,011116334742835804;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;312;1858;25;2;9;47193;50;1;0;45;0;0,009515893975539248;0,11201586996787766;1,855819427667819;1,4399594184680318;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1388;53;137;10;74674;7370;1;0;46;0;0,05341606309930596;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;309;1564;36;126;11;56304;4536;0;1;47;0;0,0074682488456717525;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1536;36;12;10;55603;434;1;0;48;0;0,016476416573528833;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;307;1403;52;0;9;74078;0;0;1;49;0;0,03864178493454944;-0,0010416336151943912;3,126577712539185;-0,3459696619302671;0,21979395873799373;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1441;44;147;10;63692;6497;0;1;50;0;0,011140399873801473;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1350;57;186;11;77760;10713;1;0;51;0;0,23288955780834117;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;307;1392;50;101;9;70156;5090;0;1;52;0;0,034784748922053334;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
303;313;1586;31;108;9;50593;3445;1;0;53;0;0,013322696313110541;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;312;1629;32;69;11;53105;2249;0;1;54;0;0,005975445388190932;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1467;39;128;11;57213;4992;1;0;55;0;0,009811708917617033;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;309;1781;24;70;9;44346;1743;0;0;56;0;0,017819809073812875;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1528;40;123;11;61120;4920;1;0;57;0;0,009811708917617033;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;311;1734;25;116;9;43350;2900;0;1;58;0;0,016164983157505326;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;310;1763;25;3;9;45661;77;1;0;59;0;0,02847415599502803;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1394;40;11;11;56178;443;1;0;60;0;0,022316848625395576;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;312;1679;30;79;9;51881;2441;0;1;61;0;0,009042787611822105;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1524;37;170;9;57454;6409;0;0;62;0;0,011733184998497785;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1548;40;140;10;62384;5642;1;0;63;0;0,010469813262662568;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;310;1317;54;231;11;72171;12658;1;0;64;1;0,9757733593958029;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
302;311;1330;53;200;8;71421;10740;0;1;65;1;0,9056051321078339;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
295;306;1678;26;53;10;44802;1415;1;0;66;0;0,016875059688387546;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;310;1719;29;62;9;50710;1829;1;0;67;0;0,02363065089430877;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1474;37;33;9;54538;1221;0;1;68;0;0,016396594964458448;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1604;40;158;11;65282;6430;0;1;69;0;0,009633490759854367;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1429;45;113;11;65448;5175;1;0;70;0;0,014887390943805402;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;311;1639;30;161;9;49170;4830;0;0;71;0;0,015297962513684323;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;307;1668;32;31;9;54543;1013;1;0;72;0;0,009029957004962058;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
296;307;1398;52;31;11;73674;1633;1;0;73;0;0,05170189262918436;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;311;1668;33;52;9;55377;1726;0;1;74;0;0,015438447924990434;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1611;31;48;10;49941;1488;0;1;75;0;0,011496565900656428;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
304;313;1689;32;134;9;54892;4355;0;0;76;0;0,013260414541385998;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1663;30;139;9;50887;4253;1;0;77;0;0,019617229643185182;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;311;1390;49;194;11;68110;9506;0;0;78;0;0,0694816638757748;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
303;311;1831;23;161;8;42662;3751;0;1;79;0;0,051284717003818;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;309;2001;20;220;11;41020;4510;1;0;80;1;0,6873141725595047;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
301;310;1385;49;105;9;68142;5166;1;0;81;0;0,1013461939590133;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;308;1623;31;152;9;50475;4727;1;0;82;0;0,01815301218713602;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1480;38;160;11;56388;6096;1;0;83;0;0,011966427440287775;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1384;54;44;10;75289;2393;0;1;84;0;0,05517360195960607;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1445;49;4;10;72105;199;0;0;85;0;0,016046660473943947;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;309;1539;42;134;12;64945;5654;0;1;86;0;0,00841951028797594;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;310;1557;35;65;8;54962;2294;0;1;87;0;0,023165207258240724;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;311;1303;49;212;9;64107;10430;1;0;88;0;0,4113198481498731;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Medio;Mantenimiento preventivo programado;Revisar Potencia
301;310;1470;49;116;9;72471;5718;1;0;89;0;0,03335878609383148;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;309;1888;21;221;9;41347;4839;0;1;90;1;0,7001413665965613;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
301;312;1682;29;83;11;49955;2465;1;0;91;0;0,006679191307768946;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;311;1453;37;135;9;53761;4995;1;0;92;0;0,015510798720907992;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1827;24;153;10;44396;3717;0;0;93;0;0,016932354454960212;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1425;40;35;11;57000;1400;1;0;94;0;0,012262884276716077;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;310;1563;41;184;8;64083;7544;0;1;95;0;0,06022532880684979;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;310;1340;47;54;8;64051;2581;1;0;96;1;0,9440139231950727;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
300;312;1465;59;91;11;86581;5378;1;0;97;1;0,8019331524000035;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
295;306;1339;53;67;10;71234;3564;1;0;98;0;0,06393548833988164;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;311;1505;44;187;9;66220;8228;0;1;99;0;0,02408132221504356;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1486;38;106;10;57805;4123;0;1;100;0;0,015648845540619485;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;309;1446;43;225;7;62467;9720;1;0;101;0;0,36286498027178354;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Medio;Mantenimiento preventivo programado;Revisar Potencia
302;311;1544;39;70;9;60370;2737;0;0;102;0;0,015438447924990434;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1355;50;8;10;68563;404;0;1;103;0;0,040456352475555055;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;311;1490;38;67;11;57216;2572;1;0;104;0;0,009782181124403964;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;311;1510;36;91;9;55266;3330;0;1;105;0;0,015438447924990434;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;312;1924;24;17;9;46176;408;0;1;106;0;0,009471237652163383;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;309;1356;45;64;9;62240;2937;1;0;107;0;0,03643875670848617;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;309;1557;40;59;9;63214;2395;1;0;108;0;0,012411943863171952;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;308;1435;45;45;9;64862;2034;0;1;109;0;0,018701338673429928;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1622;34;8;11;56121;276;0;1;110;0;0,010174069155813575;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1515;42;125;9;64841;5350;1;0;111;0;0,01097285139598896;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;309;1539;43;132;9;66484;5702;0;1;112;0;0,012900296718206057;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;310;1487;44;88;9;66320;3924;1;0;113;0;0,020805018291347798;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;312;1397;42;212;11;59651;9052;0;0;114;0;0,11655267782198021;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;309;1910;21;141;9;41638;3073;0;1;115;0;0,019493190674376784;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;311;1466;43;152;8;64357;6672;1;0;116;0;0,020520504902379295;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
303;312;1551;41;111;9;64831;4639;1;0;117;0;0,015059979689763138;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;309;1494;38;33;9;57519;1270;0;1;118;0;0,011786075161372998;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1432;49;91;10;70884;4504;0;0;119;0;0,020023961604215927;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;309;1678;34;148;11;57723;5091;0;1;120;0;0,009484107433182334;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1871;25;200;11;47897;5120;1;0;121;0;0,047889344529259484;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;310;1402;50;30;8;70801;1515;1;0;122;1;0,5774490626412219;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Medio;Mantenimiento preventivo programado;Revisar Potencia
297;308;1440;35;13;10;51696;466;1;0;123;0;0,009632743625816122;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
296;307;1638;32;146;10;53235;4745;0;0;124;0;0,011930560670546288;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;310;1574;36;181;11;56978;6552;1;0;125;0;0,040921762445985777;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;312;1548;37;58;11;58669;2198;1;0;126;0;0,005468587032726726;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;310;1360;44;67;8;59840;2948;0;1;127;1;0,8990683173950611;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
301;310;1556;39;72;9;60684;2808;1;0;128;0;0,020805018291347798;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1496;45;129;10;68217;5882;0;1;129;0;0,010129408671341515;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;307;1429;44;26;9;63018;1146;0;0;130;0;0,012078437575819785;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;307;1387;50;204;9;70459;10363;1;0;131;0;0,3310460901441853;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Medio;Mantenimiento preventivo programado;Revisar Potencia
303;312;1793;28;170;8;50383;4777;1;0;132;0;0,02106083659967384;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;311;1567;33;168;9;51867;5560;1;0;133;0;0,01745626215055832;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;309;1547;37;0;11;57857;0;1;0;134;0;0,010715264674832047;-0,0010416336151943912;3,125048442483204;-0,33484602661259355;0,09092295302134024;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1472;42;150;11;61824;6300;0;1;135;0;0,009633490759854367;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;310;1614;36;108;10;58426;3909;1;0;136;0;0,018025961236882628;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1501;42;212;10;64392;9094;0;0;137;1;0,5271358515685878;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Medio;Mantenimiento preventivo programado;Revisar Potencia
